ID;Nombre;Partido;Asistencia;Observacion;Hora Ingreso;ID_Sesion;ID_Legislatura
119;Riquelme Aliaga Marcela;IND;A;;18:01;3;372
120;Rivas Sánchez Gaspar;PDG;A;;18:08;3;372
121;Rojas Valderrama Camila;COMUNES;A;;18:02;3;372
122;Romero Leiva Agustín;PREP;A;;18:01;3;372
123;Romero Sáez Leonidas;IND;A;;18:01;3;372
124;Romero Talguia Natalia;IND;A;;18:01;3;372
125;Rosas Barrientos Patricio;IND;A;;18:01;3;372
126;Sáez Quiroz Jaime;PRD;A;;18:31;3;372
127;Saffirio Espinoza Jorge;PDCH;A;;18:01;3;372
128;Sagardía Cabezas Clara;IND;A;;18:01;3;372
129;Sánchez Ossa Luis;PREP;A;;18:01;3;372
130;Santana Castillo Juan;PS;A;;18:03;3;372
131;Santibáñez Novoa Marisela;IND;I;MO;-;3;372
132;Sauerbaum Muñoz Frank;RN;A;;18:01;3;372
133;Schalper Sepúlveda Diego;RN;A;;18:01;3;372
134;Schneider Videla Emilia;PCS;A;;18:01;3;372
135;Schubert Rubio Stephan;IND;A;;18:03;3;372
136;Sepúlveda Soto Alexis;PRSD;A;;18:01;3;372
137;Serrano Salazar Daniela;PC;I;;-;3;372
138;Soto Ferrada Leonardo;PS;A;;18:01;3;372
139;Soto Mardones Raúl;PPD;A;;18:01;3;372
140;Sulantay Olivares Marco Antonio;UDI;A;;18:03;3;372
141;Tapia Ramos Cristián;IND;A;;18:03;3;372
142;Teao Drago Hotuiti;IND;A;;18:01;3;372
